Begin Time - msec	End Time - msec	Transcription	NTB	InfoStructure
1376	4203	e aí eles iam pra essa [/3] &he / eles tinham essa turma / então era a turma do bairro / assim / e aí tinha gente / que era da / Selênio / que é a [/1] a rua do poste / e a [/2] e atravessando a Amazonas / do outro lado / como se fosse a &pr [/2] a continuação da Selênio / é a rua Japão / eu acho //	e aí eles iam pra essa [/3]	SCA
4203	5486	e aí eles iam pra essa [/3] &he / eles tinham essa turma / então era a turma do bairro / assim / e aí tinha gente / que era da / Selênio / que é a [/1] a rua do poste / e a [/2] e atravessando a Amazonas / do outro lado / como se fosse a &pr [/2] a continuação da Selênio / é a rua Japão / eu acho //	&he	TMT
5486	6644	e aí eles iam pra essa [/3] &he / eles tinham essa turma / então era a turma do bairro / assim / e aí tinha gente / que era da / Selênio / que é a [/1] a rua do poste / e a [/2] e atravessando a Amazonas / do outro lado / como se fosse a &pr [/2] a continuação da Selênio / é a rua Japão / eu acho //	eles tinham essa turma	COB
6644	7782	e aí eles iam pra essa [/3] &he / eles tinham essa turma / então era a turma do bairro / assim / e aí tinha gente / que era da / Selênio / que é a [/1] a rua do poste / e a [/2] e atravessando a Amazonas / do outro lado / como se fosse a &pr [/2] a continuação da Selênio / é a rua Japão / eu acho //	então era a turma do bairro	COB
7782	8039	e aí eles iam pra essa [/3] &he / eles tinham essa turma / então era a turma do bairro / assim / e aí tinha gente / que era da / Selênio / que é a [/1] a rua do poste / e a [/2] e atravessando a Amazonas / do outro lado / como se fosse a &pr [/2] a continuação da Selênio / é a rua Japão / eu acho //	assim	PAR
8039	9626	e aí eles iam pra essa [/3] &he / eles tinham essa turma / então era a turma do bairro / assim / e aí tinha gente / que era da / Selênio / que é a [/1] a rua do poste / e a [/2] e atravessando a Amazonas / do outro lado / como se fosse a &pr [/2] a continuação da Selênio / é a rua Japão / eu acho //	e aí tinha gente	SCA
9626	10619	e aí eles iam pra essa [/3] &he / eles tinham essa turma / então era a turma do bairro / assim / e aí tinha gente / que era da / Selênio / que é a [/1] a rua do poste / e a [/2] e atravessando a Amazonas / do outro lado / como se fosse a &pr [/2] a continuação da Selênio / é a rua Japão / eu acho //	que era da	SCA
10619	11522	e aí eles iam pra essa [/3] &he / eles tinham essa turma / então era a turma do bairro / assim / e aí tinha gente / que era da / Selênio / que é a [/1] a rua do poste / e a [/2] e atravessando a Amazonas / do outro lado / como se fosse a &pr [/2] a continuação da Selênio / é a rua Japão / eu acho //	Selênio	COB
11522	12059	e aí eles iam pra essa [/3] &he / eles tinham essa turma / então era a turma do bairro / assim / e aí tinha gente / que era da / Selênio / que é a [/1] a rua do poste / e a [/2] e atravessando a Amazonas / do outro lado / como se fosse a &pr [/2] a continuação da Selênio / é a rua Japão / eu acho //	que é a [/1]	SCA
12059	14017	e aí eles iam pra essa [/3] &he / eles tinham essa turma / então era a turma do bairro / assim / e aí tinha gente / que era da / Selênio / que é a [/1] a rua do poste / e a [/2] e atravessando a Amazonas / do outro lado / como se fosse a &pr [/2] a continuação da Selênio / é a rua Japão / eu acho //	a rua do poste	PAR
