Begin Time - msec	End Time - msec	Transcription	NTB	InfoStructure	
0	858	o' / eu fiquei muito puta / porque tipo assim / &he / te contar desde o ano novo né / que / foi uma sequência de coisas //	o'	
858	1695	o' / eu fiquei muito puta / porque tipo assim / &he / te contar desde o ano novo né / que / foi uma sequência de coisas //	eu fiquei muito puta	
1695	2330	o' / eu fiquei muito puta / porque tipo assim / &he / te contar desde o ano novo né / que / foi uma sequência de coisas //	porque tipo assim	
2330	3009	o' / eu fiquei muito puta / porque tipo assim / &he / te contar desde o ano novo né / que / foi uma sequência de coisas //		
3009	3480	o' / eu fiquei muito puta / porque tipo assim / &he / te contar desde o ano novo né / que / foi uma sequência de coisas //	&he	
3480	4837	o' / eu fiquei muito puta / porque tipo assim / &he / te contar desde o ano novo né / que / foi uma sequência de coisas //	te contar desde o ano novo né	
4837	5391	o' / eu fiquei muito puta / porque tipo assim / &he / te contar desde o ano novo né / que / foi uma sequência de coisas //	que	
5391	7021	o' / eu fiquei muito puta / porque tipo assim / &he / te contar desde o ano novo né / que / foi uma sequência de coisas //	foi uma sequência de coisas	
7441	8980	a gente tava conversando normal / depois daquele rolê / cheguei a comentar com você que eu tinha perguntado pra ele / que que a gente &t [/1] então //	a gente tava conversando normal	
8980	9906	a gente tava conversando normal / depois daquele rolê / cheguei a comentar com você que eu tinha perguntado pra ele / que que a gente &t [/1] então //	depois daquele rolê	
9906	12460	a gente tava conversando normal / depois daquele rolê / cheguei a comentar com você que eu tinha perguntado pra ele / que que a gente &t [/1] então //	cheguei a comentar com você que eu tinha perguntado pra ele	
12460	13587	a gente tava conversando normal / depois daquele rolê / cheguei a comentar com você que eu tinha perguntado pra ele / que que a gente &t [/1] então //	que que a gente &t [/1]	
13587	13739	a gente tava conversando normal / depois daquele rolê / cheguei a comentar com você que eu tinha perguntado pra ele / que que a gente &t [/1] então //	então	
14422	15089	aí / ele parou de falar comigo no Ano-Novo //	aí	
15089	16711	aí / ele parou de falar comigo no Ano-Novo //	ele parou de falar comigo no Ano-Novo	
16711	17488	tipo assim / eu tinha mandado uma mensagem pra ele antes de virar o ano / aí ele simplesmente parou de responder / nũ mandou nem um feliz Ano-Novo //	tipo assim	
17488	20356	tipo assim / eu tinha mandado uma mensagem pra ele antes de virar o ano / aí ele simplesmente parou de responder / nũ mandou nem um feliz Ano-Novo //	eu tinha mandado uma mensagem pra ele antes de virar o ano	
20356	22619	tipo assim / eu tinha mandado uma mensagem pra ele antes de virar o ano / aí ele simplesmente parou de responder / nũ mandou nem um feliz Ano-Novo //	aí ele simplesmente parou de responder	
22619	24045	tipo assim / eu tinha mandado uma mensagem pra ele antes de virar o ano / aí ele simplesmente parou de responder / nũ mandou nem um feliz Ano-Novo //	nũ mandou nem um feliz Ano-Novo	
24920	25579	nũ mandou nada //	nũ mandou nada	
25579	25972	eu / tá bom //	eu	
25972	26622	eu / tá bom //	tá bom	
26971	27666	<aí eu deixei> //	<aí eu deixei>	
28697	29329	ah não / eu tô bebendo //	ah não	
29329	31141	ah não / eu tô bebendo //	eu tô bebendo	
31141	32268	aí ele parou //	aí ele parou	
32268	32474	eu falei / tá bom / não vou mandar também porque né / porque eu fui eu [/1] a última a perguntar qualquer coisa +	eu falei	
32474	32802	eu falei / tá bom / não vou mandar também porque né / porque eu fui eu [/1] a última a perguntar qualquer coisa +	tá bom	
32802	33723	eu falei / tá bom / não vou mandar também porque né / porque eu fui eu [/1] a última a perguntar qualquer coisa +	não vou mandar também porque né	
33723	34774	eu falei / tá bom / não vou mandar também porque né / porque eu fui eu [/1] a última a perguntar qualquer coisa +	porque eu fui eu [/1]	
34774	36251	eu falei / tá bom / não vou mandar também porque né / porque eu fui eu [/1] a última a perguntar qualquer coisa +	a última a perguntar qualquer coisa +	
36251	38396	nem se eu quisesse eu ia apoiar //	nem se eu quisesse eu ia apoiar	
38974	40615	meu Deus //	meu Deus	
42569	43585	aí / ele [/1] e aí eu [/3] eu fiquei encucada e mandei / tipo / mensagem seis dias depois //	aí	
43585	44212	aí / ele [/1] e aí eu [/3] eu fiquei encucada e mandei / tipo / mensagem seis dias depois //	ele [/1]	
44212	44802	aí / ele [/1] e aí eu [/3] eu fiquei encucada e mandei / tipo / mensagem seis dias depois //	e aí eu [/3]	
44802	45982	aí / ele [/1] e aí eu [/3] eu fiquei encucada e mandei / tipo / mensagem seis dias depois //	eu fiquei encucada e mandei	
45982	46213	aí / ele [/1] e aí eu [/3] eu fiquei encucada e mandei / tipo / mensagem seis dias depois //	tipo	
46213	47453	aí / ele [/1] e aí eu [/3] eu fiquei encucada e mandei / tipo / mensagem seis dias depois //	mensagem seis dias depois	
48148	48416	tipo assim / como quem não quer nada //	tipo assim	
48416	49322	tipo assim / como quem não quer nada //	como quem não quer nada	
49322	50730	aí continuou conversando / ele parou de novo / e daí nessa vez eu desisti mesmo / falei ah / nũ vou mais / tipo já entendi que ele não quer //	aí continuou conversando	
50730	51581	aí continuou conversando / ele parou de novo / e daí nessa vez eu desisti mesmo / falei ah / nũ vou mais / tipo já entendi que ele não quer //	ele parou de novo	
51581	53120	aí continuou conversando / ele parou de novo / e daí nessa vez eu desisti mesmo / falei ah / nũ vou mais / tipo já entendi que ele não quer //	e daí nessa vez eu desisti mesmo	
53120	53672	aí continuou conversando / ele parou de novo / e daí nessa vez eu desisti mesmo / falei ah / nũ vou mais / tipo já entendi que ele não quer //	falei ah	
53672	54845	aí continuou conversando / ele parou de novo / e daí nessa vez eu desisti mesmo / falei ah / nũ vou mais / tipo já entendi que ele não quer //	nũ vou mais	
54845	56444	aí continuou conversando / ele parou de novo / e daí nessa vez eu desisti mesmo / falei ah / nũ vou mais / tipo já entendi que ele não quer //	tipo já entendi que ele não quer	
56947	57846	aí deixei //	aí deixei	
57846	58947	ele ficou tipo / mais de um mês sem falar comigo aí encontrei com ele na academia / antes da / pandemia acontecer / né //	ele ficou tipo	
58947	61986	ele ficou tipo / mais de um mês sem falar comigo aí encontrei com ele na academia / antes da / pandemia acontecer / né //	mais de um mês sem falar comigo aí encontrei com ele na academia	
61986	62382	ele ficou tipo / mais de um mês sem falar comigo aí encontrei com ele na academia / antes da / pandemia acontecer / né //	antes da	
62382	63218	ele ficou tipo / mais de um mês sem falar comigo aí encontrei com ele na academia / antes da / pandemia acontecer / né //	pandemia acontecer 	
63218	63490	ele ficou tipo / mais de um mês sem falar comigo aí encontrei com ele na academia / antes da / pandemia acontecer / né //	né	
64347	64980	aí e' [/1] eu tava fazendo exercício e' tava do meu lado só que eu não me aguentei / eu tive que falar alguma coisa / aí eu perguntei como que ele tava //	aí e' [/1]	
64980	67373	aí e' [/1] eu tava fazendo exercício e' tava do meu lado só que eu não me aguentei / eu tive que falar alguma coisa / aí eu perguntei como que ele tava //	eu tava fazendo exercício e' tava do meu lado só que eu não me aguentei	
67373	68605	aí e' [/1] eu tava fazendo exercício e' tava do meu lado só que eu não me aguentei / eu tive que falar alguma coisa / aí eu perguntei como que ele tava //	eu tive que falar alguma coisa	
68605	69971	aí e' [/1] eu tava fazendo exercício e' tava do meu lado só que eu não me aguentei / eu tive que falar alguma coisa / aí eu perguntei como que ele tava //	aí eu perguntei como que ele tava	
70498	71332	aí eu [/1] ele respondeu que e' tava bem / aí ele [/1] aí eu / cê sumiu né //	aí eu [/1]	
71332	72534	aí eu [/1] ele respondeu que e' tava bem / aí ele [/1] aí eu / cê sumiu né //	ele respondeu que e' tava bem 	
